HD001;05/01/2020 10:30:00;NV001;KH001;31500000
HD002;12/01/2021 14:15:00;NV002;KH002;41200000
HD003;18/01/2022 09:45:00;NV003;KH003;54000000
HD004;25/01/2023 16:20:00;NV001;KH004;68000000
HD005;03/02/2024 11:00:00;NV002;KH005;48400000
HD006;15/02/2024 13:30:00;NV003;KH001;50300000
HD007;22/02/2024 10:00:00;NV001;KH006;35800000
HD008;01/03/2024 15:45:00;NV002;KH007;65400000
HD009;10/03/2024 09:30:00;NV003;KH008;53400000
HD010;18/03/2024 14:00:00;NV001;KH002;49000000
HD011;25/03/2024 11:30:00;NV002;KH009;41600000
HD012;05/04/2024 16:00:00;NV003;KH010;33100000
HD013;12/04/2024 10:15:00;NV001;KH003;99000000
HD014;20/04/2024 13:45:00;NV002;KH011;77500000
HD015;28/04/2024 09:00:00;NV003;KH012;63500000
HD016;05/05/2024 15:30:00;NV001;KH004;88000000
HD017;15/05/2024 11:45:00;NV002;KH013;44800000
HD018;22/05/2024 14:30:00;NV003;KH014;50900000
HD019;01/06/2024 10:45:00;NV001;KH015;63500000
HD020;10/06/2024 16:15:00;NV002;KH005;82000000
HD021;18/06/2024 09:15:00;NV003;KH006;55500000
HD022;25/06/2024 13:00:00;NV001;KH007;69000000
HD030;11/11/2025 18:44:00;NV001;KH020;237000000
